citation_key,entry_type,year,author,title,journal,booktitle,volume,number,pages,publisher,doi,url,role_in_review,verification_status
nogas2020deepfall,article,2020,"Nogas, Jacob and Khan, Shehroz S and Mihailidis, Alex",DeepFall: Non-invasive fall detection with deep spatio-temporal convolutional autoencoders,Journal of Healthcare Informatics Research,,4,,50--70,,10.1007/s41666-019-00061-4,,primary_or_comparative_study,transcribed_from_manuscript
luna2018abandoned,article,2018,"Luna, E and San Miguel, JC and Ortego, D and Mart{\'\i}nez, JM",Abandoned object detection in video-surveillance: Survey and comparison,Sensors,,18,12,4290,,10.3390/s18124290,,positioning_review,transcribed_from_manuscript
liang2023vfloodnet,article,2023,"Liang, Yongqing and Jafari, Navid and Luo, Xing and Chen, Qin and Cao, Yanpeng and Li, Xin",V-FloodNet: A video segmentation system for urban flood detection and quantification,Environmental Modelling \& Software,,160,,105586,Elsevier,10.1016/j.envsoft.2022.105586,,primary_or_comparative_study,transcribed_from_manuscript
lopez2018emergency,article,2018,"Lopez-Fuentes, Laura and van de Weijer, Joost and Gonz{\'a}lez-Hidalgo, Manuel and Skinnemoen, Harald and Bagdanov, Andrew D.",Review on computer vision techniques in emergency situations,Multimedia Tools and Applications,,77,13,17069--17107,Springer,10.1007/s11042-017-5276-7,,positioning_review,transcribed_from_manuscript
mantini2023feature_survey,article,2023,"Mantini, Pranav and Shah, Shishir K",A survey of feature types and their contributions for camera tampering detection,arXiv preprint arXiv:2310.07886,,,,,,,,positioning_review,transcribed_from_manuscript
simonyan2014very,inproceedings,2015,"Simonyan, Karen and Zisserman, Andrew",Very deep convolutional networks for large-scale image recognition,,International Conference on Learning Representations,,,,,,,primary_or_comparative_study,transcribed_from_manuscript
he2016deep,inproceedings,2016,"He, Kaiming and Zhang, Xiangyu and Ren, Shaoqing and Sun, Jian",Deep residual learning for image recognition,,IEEE Conference on Computer Vision and Pattern Recognition,,,770--778,,10.1109/CVPR.2016.90,,primary_or_comparative_study,transcribed_from_manuscript
carreira2017quo,inproceedings,2017,"Carreira, Joao and Zisserman, Andrew","Quo vadis, action recognition? A new model and the kinetics dataset",,IEEE Conference on Computer Vision and Pattern Recognition,,,6299--6308,,10.1109/CVPR.2017.502,,dataset_or_benchmark,transcribed_from_manuscript
cho2014learning,article,2014,"Cho, Kyunghyun and Van Merri{\""e}nboer, Bart and Gulcehre, Caglar and Bahdanau, Dzmitry and Bougares, Fethi and Schwenk, Holger and Bengio, Yoshua",Learning phrase representations using RNN encoder-decoder for statistical machine translation,arXiv preprint arXiv:1406.1078,,,,,,,,primary_or_comparative_study,transcribed_from_manuscript
shi2015convolutional,inproceedings,2015,"Shi, Xingjian and Chen, Zhourong and Wang, Hao and Yeung, Dit-Yan and Wong, Wai-Kin and Woo, Wang-chun",Convolutional LSTM network: A machine learning approach for precipitation nowcasting,,Advances in Neural Information Processing Systems,,,802--810,,,,primary_or_comparative_study,transcribed_from_manuscript
kingma2013auto,article,2013,"Kingma, Diederik P and Welling, Max",Auto-encoding variational Bayes,arXiv preprint arXiv:1312.6114,,,,,,,,primary_or_comparative_study,transcribed_from_manuscript
gong2019memorizing,inproceedings,2019,"Gong, Dong and Liu, Lingqiao and Le, Vuong and Saha, Budhaditya and Mansour, Moussa Reda and Venkatesh, Svetha and van den Hengel, Anton",Memorizing normality to detect anomaly: Memory-augmented deep autoencoder for unsupervised anomaly detection,,IEEE/CVF International Conference on Computer Vision,,,1705--1714,,10.1109/ICCV.2019.00179,,primary_or_comparative_study,transcribed_from_manuscript
goodfellow2014generative,inproceedings,2014,"Goodfellow, Ian and Pouget-Abadie, Jean and Mirza, Mehdi and Xu, Bing and Warde-Farley, David and Ozair, Sherjil and Courville, Aaron and Bengio, Yoshua",Generative adversarial nets,,Advances in Neural Information Processing Systems,,,2672--2680,,,,primary_or_comparative_study,transcribed_from_manuscript
radford2015unsupervised,inproceedings,2016,"Radford, Alec and Metz, Luke and Chintala, Soumith",Unsupervised representation learning with deep convolutional generative adversarial networks,,International Conference on Learning Representations,,,,,,,primary_or_comparative_study,transcribed_from_manuscript
arjovsky2017wasserstein,inproceedings,2017,"Arjovsky, Martin and Chintala, Soumith and Bottou, L{\'e}on",Wasserstein generative adversarial networks,,International Conference on Machine Learning,,,214--223,,,,primary_or_comparative_study,transcribed_from_manuscript
zhu2017unpaired,inproceedings,2017,"Zhu, Jun-Yan and Park, Taesung and Isola, Phillip and Efros, Alexei A",Unpaired image-to-image translation using cycle-consistent adversarial networks,,IEEE International Conference on Computer Vision,,,2223--2232,,10.1109/ICCV.2017.244,,primary_or_comparative_study,transcribed_from_manuscript
ho2020denoising,inproceedings,2020,"Ho, Jonathan and Jain, Ajay and Abbeel, Pieter",Denoising diffusion probabilistic models,,Advances in Neural Information Processing Systems,33,,6840--6851,,,,primary_or_comparative_study,transcribed_from_manuscript
rombach2022high,inproceedings,2022,"Rombach, Robin and Blattmann, Andreas and Lorenz, Dominik and Esser, Patrick and Ommer, Bj{\""o}rn",High-resolution image synthesis with latent diffusion models,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,10684--10695,,10.1109/CVPR52688.2022.01042,,primary_or_comparative_study,transcribed_from_manuscript
song2020score,inproceedings,2021,"Song, Yang and Sohl-Dickstein, Jascha and Kingma, Diederik P and Kumar, Abhishek and Ermon, Stefano and Poole, Ben",Score-based generative modeling through stochastic differential equations,,International Conference on Learning Representations,,,,,,,primary_or_comparative_study,transcribed_from_manuscript
liu2021swin,inproceedings,2021,"Liu, Ze and Lin, Yutong and Cao, Yue and Hu, Han and Wei, Yixuan and Zhang, Zheng and Lin, Stephen and Guo, Baining",Swin transformer: Hierarchical vision transformer using shifted windows,,IEEE/CVF International Conference on Computer Vision,,,10012--10022,,10.1109/ICCV48922.2021.00986,,primary_or_comparative_study,transcribed_from_manuscript
bertasius2021space,inproceedings,2021,"Bertasius, Gedas and Wang, Heng and Torresani, Lorenzo",Is space-time attention all you need for video understanding?,,International Conference on Machine Learning,,,813--824,,,,primary_or_comparative_study,transcribed_from_manuscript
